Version=1.0
상품,코드,종목명,현재가,전일대비,,거래량,통화
BLANK|
지수,YM,미니 다우(24.12),"44316",▲,"175","19,054",USD
지수,MYM,마이크로 미니 다우(24.12),"44317",▲,"176","13,598",USD
금리,ZN,10년 미국채(24.12),109'30.5,▼,-0'10.5,"273,130",USD
금리,ZT,2년 미국채(24.12),102'21.8,▼,-0'02.7,"116,595",USD
금리,ZB,30년 미국채(24.12),117'15,▼,-0'12,"56,600",USD
금리,ZF,5년 미국채(24.12),106'25.0,▼,-0'07.2,"207,665",USD
금리,UB,초장기 미국채(24.12),124'30,▼,-0'13,"41,608",USD
금리,2YY,2년 수익률선물(24.11),"4.246",▲,"0.030","31",USD
금리,5YY,5년 수익률선물(24.11),"4.869", ,"","0",USD
금리,10Y,10년 수익률선물(24.11),"4.344",▲,"0.038","901",USD
금리,30Y,30년 수익률선물(24.11),"4.510", ,"","0",USD
농축산물,ZO,귀리(Oats)(24.12),351'0,▼,-10'4,"147",USD
농축산물,ZR,쌀(Rough Rice)(25.01),"14.545",▲,"0.180","120",USD
농축산물,ZS,대두(Soybeans)(25.01),1035'4,▲,5'2,"29,704",USD
농축산물,ZW,밀(Wheat)(24.12),562'0,▼,-10'4,"15,583",USD
농축산물,ZC,옥수수(Corn)(24.12),430'4,▼,-0'4,"18,962",USD
농축산물,ZM,대두박(Soybean Meal)(24.12),"299.5",▲,"3.3","9,125",USD
농축산물,ZL,대두유(Soybean Oil)(24.12),"48.77", ,"0","11,333",USD
BLANK|
지수,VX,CBOE 빅스(24.11),"15.250",▼,"-0.247","4,803",USD
지수,VXM,미니 빅스(24.11),"15.270",▼,"-0.227","322",USD
BLANK|
지수,CN,FTSE 차이나 A50(24.11),"13685.0",▼,"-30.0","13,679",USD
지수,NU,SGX 니케이225 Dollar(24.12),"39565", ,"","0",USD
지수,NK,SGX 니케이225 Yen(24.12),"39705",▲,"175","1,674",JPY
지수,TWN,FTSE 타이완(24.11),"1951.50",▼,"-14.25","6,091",USD
통화,IU,'SGX 인도 루피/USD(24.11),"118.410", ,"0","477",USD
통화,KU,'미니 SGX 한국 원/USD(24.11),"0.7160",▲,"0.0004","160",USD
통화,UC,'SGX USD/중국 CNH(24.12),"7.2048",▲,"0.0077","13,381",CNY
BLANK|
지수,HSI,홍콩 항셍(24.11),"20392",▼,"-52","3,610",HKD
통화,CUS,'HKEX USD/중국 CNH(24.12),"7.2051",▲,"0.0105","235",CNY
지수,HHI,홍콩 H-shares(24.11),"7342",▼,"-14","4,101",HKD
지수,MHI,미니 항셍 Index(24.11),"20394",▼,"-50","4,056",HKD
지수,MCH,미니 H-shares(24.11),"7344",▼,"-12","501",HKD
BLANK|
지수,FDAX,독일 DAX(24.12),"19547.0",▲,"265.0","17,996",EUR
지수,FESX,유로스탁스50(24.12),"4872.0",▲,"61.0","235,038",EUR
지수,FDXM,미니 독일 DAX(24.12),"19547.0",▲,"265.0","16,351",EUR
금리,FGBM,유로 중기국채(24.12),"118.51",▲,"0.05","219,837",EUR
금리,FGBL,유로 장기국채(24.12),"132.15",▲,"0.07","365,285",EUR
금리,FGBS,유로 단기국채(24.12),"106.730",▲,"0.020","223,468",EUR
BLANK|
지수,NKO,니케이225 지수(24.12),"39700",▲,"150","2,151",JPY
지수,NKM,미니 니케이225 지수(24.12),"39705",▲,"155","60,717",JPY
지수,TPX,토픽스 지수(24.12),"2748.0",▲,"7.0","3,740",JPY
지수,TPM,미니 토픽스 지수(24.12),"2747.75",▲,"6.75","1,687",JPY
