상품,코드,종목명,현재가,등락률,거래량,통화
BLANK|,,,,,,
금리,ZN,10년 미국채(24.12),109'30.5,-0'10.5,"273,121",USD
금리,ZF,5년 미국채(24.12),106'25.0,-0'07.2,"207,662",USD
지수,MNQ,마이크로 미니 나스닥 100(24.12),21295.25,0.30%,"160,340",USD
금리,ZT,2년 미국채(24.12),102'21.8,-0'02.7,"116,591",USD
통화,6E,유로 FX(24.12),1.06795,-0.46%,"101,943",USD
지수,ES,미니 S&P 500(24.12),6043.5,0.30%,"100,632",USD
지수,MES,마이크로 미니 S&P 500(24.12),6043.5,0.30%,"78,446",USD
금리,SR3,3개월물 SOFR(25.12),96.125,-0.06%,"71,508",USD
에너지,CL,WTI 크루드유(Crude Oil)(24.12),69.28,-1.56%,"66,098",USD
금속,GC,금(Gold)(24.12),2667.2,-1.02%,"65,300",USD
지수,NQ,미니 나스닥 100(24.12),21295,0.30%,"56,962",USD
금리,ZB,30년 미국채(24.12),117'15,-0'12,"56,600",USD
금속,MGC,마이크로 금(Gold)(24.12),2667.4,-1.02%,"50,099",USD
통화,6J,일본 엔(JPY)(24.12),6531,-0.74%,"46,456",USD
금리,UB,초장기 미국채(24.12),124'29,-0'14,"41,605",USD
통화,6A,호주 달러(AUD)(24.12),0.6588,0.10%,"31,215",USD
에너지,NG,천연가스(Natural Gas)(24.12),2.854,6.93%,"30,599",USD
통화,6B,영국파운드(GBP)(24.12),1.2887,-0.19%,"29,835",USD
농축산물,ZS,대두(Soybeans)(25.01),1035'2,5'0,"29,689",USD
에너지,MCL,마이크로 원유(24.12),69.3,-1.53%,"26,471",USD
지수,RTY,미니 러셀 2000(24.12),2443.8,1.30%,"23,049",USD
지수,YM,미니 다우(24.12),44318,177,"19,019",USD
농축산물,ZC,옥수수(Corn)(24.12),430'4,-0'4,"18,961",USD
금속,SI,은(Silver)(24.12),31.36,-0.28%,"18,691",USD
금속,HG,구리(Copper)(24.12),4.289,-0.39%,"17,303",USD
농축산물,ZW,밀(Wheat)(24.12),561'6,-10'6,"15,572",USD
지수,M2K,마이크로 미니 러셀 2000(24.12),2443.9,1.31%,"15,244",USD
통화,6C,캐나다 달러(CAD)(24.12),0.7187,-0.11%,"14,445",USD
지수,CN,FTSE 차이나 A50(24.11),13684,-31,"13,677",USD
지수,MYM,마이크로 미니 다우(24.12),44319,178,"13,582",USD
통화,6M,멕시코 페소(pesso)(24.12),48680,-1.18%,"12,701",USD
농축산물,ZL,대두유(Soybean Oil)(24.12),48.77,0,"11,321",USD
통화,6N,뉴질랜드 달러(NZD)(24.12),0.59705,0.14%,"10,018",USD
통화,M6E,마이크로 Euro(24.12),1.0679,-0.47%,"9,497",USD
농축산물,ZM,대두박(Soybean Meal)(24.12),299.5,3.3,"9,120",USD
통화,6S,스위스 프랑(CHF)(24.12),1.14135,-0.40%,"9,020",USD
에너지,BZ,브렌트유(Brent Oil)(25.01),72.84,-1.39%,"8,722",USD
금속,PL,플래티넘(Platium)(25.01),982.4,0.40%,"7,663",USD
금속,SIL,마이크로 실버 (Micro Silver)(24.12),31.36,-0.28%,"7,414",USD
지수,TWN,FTSE 타이완(24.11),1951.5,-14.25,"6,091",USD
금속,MHG,마이크로 구리(24.12),4.2885,-0.41%,"5,910",USD
통화,M6A,마이크로 AUD(24.12),0.6588,0.09%,"5,261",USD
지수,VX,CBOE 빅스(24.11),15.25,-0.247,"4,802",USD
에너지,RB,가솔린(Gasoline)(24.12),1.9888,-1.18%,"4,191",USD
에너지,HO,난방유(Heating Oil)(24.12),2.2182,-0.92%,"2,967",USD
에너지,MNG,마이크로 천연가스(24.12),2.852,6.86%,"2,577",USD
지수,NKD,CME 니케이225 Dollar(24.12),39725,1.42%,"2,522",USD
