SYMBOL,DESCRIPTION,IBKR_SYMBOL,CURRENCY,REGION,EXCHANGE
80,HITE JINRO CO LTD,BK5U,KRW,KR,KSE
80,HITE JINRO CO LTD,BK6M,KRW,KR,KSE
80,HITE JINRO CO LTD,BK5Q,KRW,KR,KSE
80,HITE JINRO CO LTD,BK5N,KRW,KR,KSE
80,HITE JINRO CO LTD,BK6H,KRW,KR,KSE
80,HITE JINRO CO LTD,BK5Z,KRW,KR,KSE
100,YUHAN CORPORATION,D65U,KRW,KR,KSE
100,YUHAN CORPORATION,D66M,KRW,KR,KSE
100,YUHAN CORPORATION,D65Q,KRW,KR,KSE
100,YUHAN CORPORATION,D65N,KRW,KR,KSE
100,YUHAN CORPORATION,D66H,KRW,KR,KSE
100,YUHAN CORPORATION,D65Z,KRW,KR,KSE
250,SAM CHUN DANG PHARM CO LTD,F45U,KRW,KR,KSE
250,SAM CHUN DANG PHARM CO LTD,F46M,KRW,KR,KSE
250,SAM CHUN DANG PHARM CO LTD,F45Q,KRW,KR,KSE
250,SAM CHUN DANG PHARM CO LTD,F45N,KRW,KR,KSE
250,SAM CHUN DANG PHARM CO LTD,F46H,KRW,KR,KSE
250,SAM CHUN DANG PHARM CO LTD,F45Z,KRW,KR,KSE
270,KIA CORP,195U,KRW,KR,KSE
270,KIA CORP,196M,KRW,KR,KSE
270,KIA CORP,195Q,KRW,KR,KSE
270,KIA CORP,195N,KRW,KR,KSE
270,KIA CORP,196H,KRW,KR,KSE
270,KIA CORP,195Z,KRW,KR,KSE
660,SK HYNIX INC,505U,KRW,KR,KSE
660,SK HYNIX INC,506M,KRW,KR,KSE
660,SK HYNIX INC,505Q,KRW,KR,KSE
660,SK HYNIX INC,505N,KRW,KR,KSE
660,SK HYNIX INC,506H,KRW,KR,KSE
660,SK HYNIX INC,505Z,KRW,KR,KSE
720,HYUNDAI ENGINEERING & CONST,BN5U,KRW,KR,KSE
720,HYUNDAI ENGINEERING & CONST,BN6M,KRW,KR,KSE
720,HYUNDAI ENGINEERING & CONST,BN5Q,KRW,KR,KSE
720,HYUNDAI ENGINEERING & CONST,BN5N,KRW,KR,KSE
720,HYUNDAI ENGINEERING & CONST,BN6H,KRW,KR,KSE
720,HYUNDAI ENGINEERING & CONST,BN5Z,KRW,KR,KSE
810,SAMSUNG FIRE & MARINE INS,CT5U,KRW,KR,KSE
810,SAMSUNG FIRE & MARINE INS,CT6M,KRW,KR,KSE
810,SAMSUNG FIRE & MARINE INS,CT5Q,KRW,KR,KSE
810,SAMSUNG FIRE & MARINE INS,CT5N,KRW,KR,KSE
810,SAMSUNG FIRE & MARINE INS,CT6H,KRW,KR,KSE
810,SAMSUNG FIRE & MARINE INS,CT5Z,KRW,KR,KSE
880,HANWHA CORPORATION,C95U,KRW,KR,KSE
880,HANWHA CORPORATION,C96M,KRW,KR,KSE
880,HANWHA CORPORATION,C95Q,KRW,KR,KSE
880,HANWHA CORPORATION,C95N,KRW,KR,KSE
880,HANWHA CORPORATION,C96H,KRW,KR,KSE
